#{"t_start": 1776786092.6817632, "env_id": "None"}
r,l,t
61.025414,1000,25.654428
29.875381,138,25.730851
75.62072,1000,26.255596
-131.55853,415,26.344052
-76.123344,395,26.432502
36.863586,188,26.48277
-150.72653,503,26.554264
-20.666466,213,26.673002
6.607834,206,27.079854
20.197823,116,27.097808
-24.749283,162,27.114633
-21.363564,293,27.612504
-69.664,487,27.869704
-69.02849,184,28.033281
30.37259,184,28.053867
9.987198,227,28.298385
-103.45303,564,28.387576
-38.938274,455,28.508571
-91.31816,259,28.99444
-8.242493,275,29.246872
-21.214005,311,29.422298
-33.124504,344,30.156144
-66.25769,196,30.378589
-99.59667,410,30.400916
-13.286636,226,30.78608
24.1855,1000,31.151195
-131.52539,208,31.531808
26.411545,265,32.196644
27.52465,233,32.891115
26.836166,213,33.214667
87.98416,1000,33.74637
-20.210815,169,34.542253
-135.09694,557,34.5693
82.59282,1000,34.681494
-17.691742,420,35.311931
-62.94828,287,35.614954
46.835533,1000,35.712426
-80.53589,504,36.191624
-144.96385,330,36.371105
-121.32517,392,36.667225
-11.015236,291,36.806427
123.55045,1000,37.266435
-131.82614,375,37.499937
28.30893,228,37.537067
-157.87184,589,37.770808
-22.898407,227,37.816087
-125.11133,418,38.280179
16.731804,237,38.710754
-103.93722,339,38.988725
-0.7255249,259,39.181632
-10.898354,160,40.273057
68.916885,1000,41.625289
84.11336,1000,43.806656
-30.688389,1000,45.178652
-117.3648,772,45.333443
37.39356,1000,45.631172
119.02705,1000,46.424081
21.312143,1000,47.398927
-66.1407,1000,49.165549
61.70284,1000,50.737375
-41.59151,1000,52.70553
116.39605,793,53.476525
103.66183,1000,53.8368
-165.94212,1000,53.96703
-117.370445,1000,54.221256
82.54979,1000,55.961929
-17.666748,347,56.047726
21.606434,1000,57.681823
-80.168175,584,58.813274
-134.92598,1000,59.218497
9.608809,1000,61.387792
46.012283,1000,62.700084
86.50564,1000,63.249671
-44.883854,1000,65.644798
41.160492,1000,65.741233
-79.77529,1000,67.223709
47.851997,1000,68.272314
7.3563223,1000,68.63761
77.858574,1000,70.560879
-90.59419,1000,71.903135
-111.88217,1000,72.46254
-101.62475,1000,74.74623
49.662086,1000,74.858332
80.823746,1000,76.663149
77.25241,1000,77.931816
-119.99102,1000,78.31802
-41.153965,1000,80.306151
27.708477,1000,81.705424
-41.26704,1000,82.261931
13.07851,1000,85.159163
-51.3115,1000,85.280743
-89.836945,1000,87.099879
51.050194,1000,88.239452
-74.93228,1000,88.56166
-118.02054,906,89.508883
44.511856,1000,91.64221
-20.192389,1000,92.182725
9.804384,1000,95.148276
-32.763123,1000,95.437392
-57.37622,1000,97.265631
-61.025043,1000,98.531622
70.13889,1000,98.948481
-94.25286,686,99.831714
-41.71043,1000,100.108092
-46.74684,1000,102.180766
-37.889656,1000,105.699273
-66.13044,1000,105.834272
-40.289196,1000,107.961416
5.8307114,1000,109.343725
43.93429,1000,109.772228
156.7189,872,109.789347
59.137413,1000,110.526567
-122.923096,791,110.812376
-17.026817,1000,115.997196
37.768726,1000,116.142809
-7.9864426,1000,118.563948
-50.752716,1000,119.985465
-57.96648,1000,120.443655
-51.990406,1000,120.465099
-71.534424,1000,121.306123
-4.4772606,1000,121.709357
-48.326843,1000,127.036801
40.990784,1000,127.191671
2.4498208,1000,129.702848
21.152918,1000,131.304743
-19.21936,1000,131.778893
-39.180546,1000,131.801715
7.963844,1000,132.707711
2.5912638,1000,133.058109
-114.27748,826,135.637836
-4.8527904,1000,137.418831
52.777252,1000,139.526015
-26.736292,1000,140.835268
-18.56051,1000,141.249587
25.029175,1000,141.267112
29.991674,1000,141.995223
-30.49777,1000,142.316625
-1.7181475,1000,145.08908
-55.97561,1000,146.745465
-22.235237,1000,148.521412
-73.51022,1000,149.631128
-9.534108,1000,150.024543
-19.157145,1000,150.041538
-28.46801,1000,150.838175
-25.345873,1000,151.226991
52.504974,1000,154.206
-38.63518,589,155.298226
97.3106,1000,155.965044
31.016956,1000,158.516593
52.459366,1000,160.093309
52.306946,1000,160.596872
49.69585,1000,161.7538
-35.571453,1000,162.193014
-42.627148,1000,165.024136
59.510036,1000,166.091775
-48.205845,1000,166.587729
-38.079796,1000,168.002757
-38.31404,1000,168.889212
0.7613198,1000,169.157895
-36.48717,1000,169.766618
-60.47805,1000,170.065427
-127.69893,946,172.056165
-97.287704,1000,173.594671
-27.529884,1000,174.21041
-34.330402,1000,176.475552
-54.589287,1000,177.737678
-22.504862,1000,178.089468
71.47034,921,178.657928
72.494514,1000,178.847983
6.4578123,1000,181.149013
-16.387566,1000,182.516267
-6.8142467,1000,183.000371
-112.459435,883,184.611949
4.77171,1000,184.622508
-93.0743,877,185.770369
-22.326061,1000,185.967745
-15.252866,1000,186.521496
-43.701626,1000,189.83525
-76.65141,1000,191.473003
-31.400532,1000,192.069257
-120.99222,804,193.280601
-147.25574,964,193.514154
15.841514,1000,193.801974
-49.719376,1000,194.945993
0.52832526,1000,195.450721
-14.809534,1000,198.407601
-60.43448,1000,200.073245
-36.49773,1000,200.667424
-45.18133,1000,201.964202
6.5843453,1000,202.216894
-58.673706,1000,202.460178
-164.46208,871,203.050544
-53.36113,1000,203.384964
186.02925,707,204.247877
-60.68444,605,205.060277
-83.84953,608,206.164027
-2.0990932,1000,208.172199
-102.992516,621,208.406603
55.861416,878,209.185868
34.998005,1000,209.834259
25.673767,1000,210.847562
-63.444683,633,211.350064
72.85834,1000,212.14295
53.64651,1000,212.91951
-122.81805,685,213.071945
-109.36896,592,214.78213
51.671402,1000,215.439517
19.30561,1000,216.136007
26.593502,1000,216.772819
53.166298,1000,218.688665
93.38922,979,219.676379
25.037085,1000,221.149072
-49.260185,1000,221.367084
92.8212,1000,223.805927
-105.606705,592,224.512992
66.916504,1000,224.58784
-228.73454,887,225.092887
42.27708,1000,225.270294
-83.92144,520,225.643613
98.01708,728,225.881083
158.68951,648,226.149189
-61.12474,337,226.792317
-123.78453,606,227.471024
-57.72825,426,228.485597
168.63736,502,229.613685
70.95447,772,230.391237
88.12766,702,230.433591
-91.11002,548,231.016402
36.404045,1000,231.261362
57.74241,1000,231.309357
136.57886,570,232.627634
95.59026,1000,235.489112
67.13973,1000,238.400635
71.53122,1000,239.294255
89.68261,1000,239.341493
-110.65008,439,240.055615
82.96286,1000,240.055657
70.46046,1000,240.279001
13.095601,1000,240.315317
72.803,1000,241.431846
-43.718445,461,242.195758
185.41049,570,242.342212
-73.14053,579,243.060591
-129.58496,577,243.643677
-91.03956,439,244.510602
104.98667,678,244.582907
77.816284,1000,246.654314
-76.12128,290,246.675482
44.966446,1000,246.968324
-123.685875,511,247.273487
-72.87115,468,247.828223
15.928669,1000,249.321135
68.03343,1000,249.47742
-43.22087,495,250.148474
81.77904,1000,250.176355
-89.95221,609,252.034023
41.014572,1000,254.110707
144.0481,663,254.458482
87.65138,1000,254.489333
69.15102,1000,254.826526
143.76434,746,255.186646
-42.42431,436,255.610281
