#{"t_start": 1776786956.2816849, "env_id": "None"}
r,l,t
-51.79441,103,20.591371
-103.405365,79,20.593392
-85.60053,79,20.628955
-86.03536,96,20.631261
-107.53635,73,20.634645
-84.64889,66,20.661127
-204.50107,99,20.697045
-103.56446,81,20.734045
-91.87253,85,20.743986
-85.94163,69,20.746177
-89.01035,71,20.755505
-32.212852,104,20.767819
-110.41517,78,20.796509
-75.27443,70,20.873378
-35.13549,66,20.875919
-71.521454,143,20.88401
-43.016823,88,20.90594
-11.526176,149,23.781333
-66.791824,130,23.786041
-117.186325,113,23.817908
-74.21434,68,23.839719
-171.35252,144,23.842101
-155.74692,99,23.864364
-70.2072,68,23.89514
-85.679886,67,23.897216
-198.28285,128,23.907035
-66.366745,156,23.963167
-60.09105,77,23.966648
-89.98188,107,23.990498
-73.28459,66,24.004495
-95.139336,103,24.006664
-77.33424,74,24.027558
-72.39755,106,24.034815
-77.83579,92,24.044714
-75.413315,76,24.118447
-105.54489,108,24.149244
-160.04593,111,24.151949
-69.60726,82,24.179484
-111.72458,111,24.20205
-104.42854,101,24.210104
-73.48837,98,24.222775
-6.774811,126,24.228605
-103.64486,97,24.329918
-81.74245,72,24.334677
-69.23427,101,24.366566
-311.1903,137,24.371912
-139.8133,112,24.426975
-149.05682,125,24.433633
-11.228241,119,24.435923
-78.27226,159,24.438325
-107.48034,75,24.499058
-47.075695,119,24.547534
-34.799362,137,24.587743
-46.641087,89,24.599132
-126.84323,92,24.612252
-112.65577,94,24.618282
-96.58641,136,24.626592
-84.971275,70,24.63816
-57.372513,131,24.680794
-88.622345,78,24.692314
-111.41835,89,24.795429
-50.160816,127,24.835353
-77.86719,76,24.838348
-195.11569,120,24.843222
-77.156586,125,24.848724
-83.54848,123,24.859372
-94.94085,92,24.859416
-73.88454,65,24.967203
-117.58723,73,24.994842
-115.22613,88,25.007696
-130.40256,114,25.075843
-166.71967,125,25.078118
-22.910507,149,25.090217
-60.392586,66,25.135952
-300.8518,158,25.150124
-67.24681,89,25.175086
-91.51944,71,25.223127
-62.25452,74,25.229004
-32.543053,144,25.262218
-71.08807,69,25.280284
-89.61658,93,25.280329
-95.70619,101,25.358025
-59.59758,83,25.399532
-37.972427,126,25.443187
-69.120155,109,25.466367
-46.298088,91,25.485254
-103.760216,103,25.489853
-31.624062,108,25.522097
-63.81202,92,25.56196
-92.09982,77,25.644573
-71.166176,123,25.666271
-97.45964,105,25.669037
-83.73619,103,25.682849
-114.942116,136,28.700932
-258.30847,109,28.723949
-96.87314,136,28.736331
-120.75267,87,28.795167
-55.30606,109,28.827036
-108.74967,65,28.839708
-77.52927,121,28.850214
-88.43604,78,28.888313
-51.89049,153,28.898489
-84.40547,98,28.951746
-44.27858,80,29.048196
-101.98391,74,29.09127
-77.12201,124,29.137559
-116.4262,128,29.16375
-78.16331,154,29.176376
-50.423416,87,29.274018
-76.44714,154,29.287256
-124.8312,150,29.337651
-66.22041,113,29.376093
-59.12838,109,29.409312
-74.777466,110,29.436235
-76.62514,99,29.50975
-119.4034,139,29.512442
-69.90138,113,29.557663
-84.362854,115,29.662321
-37.190475,76,29.713764
80.46027,1000,29.721323
-20.827415,172,29.762672
-159.72372,144,29.765
-66.28728,89,29.779983
-79.70078,143,29.784106
-49.42014,64,29.803937
-132.36795,147,29.852597
-86.53186,93,29.923349
-92.46413,119,29.929921
-99.1448,85,29.945853
-96.95394,109,29.963257
-35.42788,151,29.982222
-53.096863,125,29.996654
-145.90298,157,30.033044
-53.856133,68,30.04892
-99.17273,74,30.052834
-75.1467,129,30.069702
-54.454014,93,30.107715
-118.34209,107,30.14968
-64.54126,73,30.180396
-87.67757,85,30.1995
-104.38696,126,30.218692
-38.578896,137,30.223963
-64.99415,82,30.255193
-75.69173,138,30.276052
-77.74876,117,30.276116
-64.671974,76,30.287434
-109.929924,79,30.365973
-64.66204,65,30.374914
-79.33077,104,30.414415
-46.813393,133,30.45209
-100.11599,144,30.454264
-72.77936,89,30.462207
-89.00917,115,30.493218
-115.13861,148,30.551615
-49.743004,89,30.579715
-67.41909,90,30.621018
-102.648605,139,30.638078
-63.918022,79,30.651748
-38.975807,105,30.651803
-65.42998,154,30.676028
-100.72279,83,30.724515
-54.096535,92,30.766939
-27.743805,158,30.769449
-77.111336,77,33.932629
-89.621994,111,33.947382
-3.0802536,100,33.952123
-106.82042,102,33.955598
