#{"t_start": 1777134227.1996357, "env_id": "None"}
r,l,t
-21.0,356,175.617748
-20.0,264,175.870365
-19.0,338,176.401791
-19.0,338,176.812295
-21.0,246,176.997522
-17.0,328,177.318583
-20.0,329,177.369942
-21.0,216,177.498897
-21.0,254,177.821308
-20.0,265,179.112845
-17.0,413,179.44674
-21.0,241,179.459524
-19.0,358,179.518193
-21.0,317,179.761371
-19.0,296,180.067892
-20.0,269,180.159231
-19.0,392,180.738298
-21.0,243,181.24115
-21.0,248,181.608403
-19.0,312,182.078749
-21.0,292,182.145339
-21.0,265,182.222379
-18.0,359,182.441234
-18.0,344,182.988934
-21.0,287,183.582396
-20.0,386,183.940513
-21.0,308,184.143219
-21.0,242,184.195188
-20.0,258,184.404789
-20.0,249,184.615115
-19.0,323,185.040448
-20.0,369,193.279194
-19.0,312,193.380702
-19.0,319,193.798842
-17.0,299,193.832777
-21.0,366,194.448954
-20.0,339,194.589293
-19.0,297,194.640564
-20.0,417,194.949662
-21.0,362,195.939243
-20.0,324,196.10559
-19.0,375,196.105623
-18.0,382,196.464666
-20.0,281,196.484194
-21.0,320,196.69796
-20.0,289,196.851203
-21.0,402,197.099877
-20.0,280,197.940144
-21.0,322,198.062492
-20.0,279,198.317927
-20.0,336,198.317963
-20.0,266,198.83794
-20.0,357,199.037867
-17.0,394,199.061266
-21.0,354,199.177653
-19.0,271,199.729004
-19.0,296,200.257703
-20.0,334,200.25774
-20.0,365,200.704931
-21.0,266,200.798926
-19.0,367,201.243029
-20.0,321,201.276413
-21.0,354,201.363246
-21.0,346,201.9946
-20.0,322,202.365232
-21.0,335,202.45671
-21.0,319,202.807292
-19.0,342,203.045439
-21.0,292,203.166911
-21.0,367,203.768254
-20.0,420,204.034236
-20.0,311,204.044677
-19.0,373,204.906553
-20.0,321,204.919594
-20.0,295,204.996007
-21.0,415,205.110209
-18.0,348,205.463187
-21.0,296,205.727104
-20.0,321,206.148445
-18.0,377,212.863681
-21.0,297,213.281574
-19.0,331,213.431249
-20.0,314,213.51289
-20.0,380,213.768277
-20.0,338,214.033146
-20.0,382,214.585717
-21.0,317,214.959299
-21.0,390,215.070263
-20.0,277,215.271052
-21.0,341,215.551356
-20.0,304,215.783609
-19.0,389,216.095187
-21.0,396,216.656229
-19.0,372,217.053826
-20.0,302,217.080854
-20.0,328,217.153933
-20.0,363,217.685591
-21.0,347,217.85917
-18.0,346,218.394638
-17.0,408,218.496487
-20.0,329,218.843489
-19.0,312,219.213941
-20.0,354,219.41092
-19.0,386,219.646205
-21.0,343,219.962994
-21.0,347,220.164903
-20.0,348,220.699405
-20.0,343,220.76922
-19.0,335,221.433578
-20.0,463,221.907406
-19.0,362,222.035991
-19.0,400,222.059706
-18.0,400,222.798264
-20.0,345,222.981713
-18.0,352,223.100495
-19.0,499,223.271265
-21.0,348,223.743792
-20.0,338,224.151039
-19.0,360,224.422656
-21.0,408,224.762174
